y_px,x_px,sigma_px,fwhm_px,fwhm_nm,A,offset
127,594,48.70327858431747,114.68745666907732,61.88340193187075,48.541827177399824,86.25875829720493
308,1184,10.274569868507156,24.194763080431656,13.055082847228554,92.51177408838825,97.37525100591922
561,717,9.42920845629517,22.2040890816592,11.980948998948916,102.4976832525038,102.81434265746255
449,581,46.63618124193604,109.81981441220735,59.256904919982084,536774.0381969702,99.46916389085608
228,350,41.01401293765131,96.58061979274,52.11326056962603,219.51700228373906,92.01473026139108
874,1163,17.593982002068497,41.43066149038465,22.355280618966223,57.81430497412569,97.93825530066508
132,315,11.38085834234196,26.799873354204546,14.460756064081753,93.08805147120465,103.54695698689305
597,992,116.72294918358892,274.8615404526441,148.31061458205906,46.90884488857772,62.4174281090157
309,1201,11.298869087666235,26.606803413817005,14.356578806437621,88.38364847126762,97.24592623741486
348,1366,31.940350935694415,75.21377862869625,40.584076313807806,54.544860660717276,91.50784956352031
536,983,13.806688048012665,32.512265770949455,17.54306590148622,115.54626658203453,96.23380505992675
538,1002,13.983444208898694,32.92849472168659,17.767655967411816,116.95789156519243,94.78334384596266
480,841,11.32769372480349,26.674680247138557,14.393203991791765,116.42042275237253,94.92129207697369
712,270,16.183706015545056,38.109715328293454,20.56335452598657,99.47735531663237,90.2117029167743
528,1354,16.379565275527703,38.57092863970552,20.812217388198224,134.9799151582307,89.55756089933945
371,449,26.36637539343615,62.08806929127423,33.50166669239363,62.34869800163552,94.96338696915849
152,276,44.63353079920894,105.10393300648346,56.712295483437366,24.868643659084935,94.53635802396894
565,359,51.766716474118866,121.90130161868898,65.77587003131706,11.591631425742127,97.01113780565386
201,392,6.062570840770851,14.276263340267336,7.70322900193147,89.85269078290933,94.11665185760997
285,1142,24.911515393118467,58.66213579981242,31.653091221270188,60.47638026727888,94.0096891506752
687,1362,4.272674486421593,10.061379526517884,5.4289493490571,8.688607586330399,98.73660153020998
142,703,35.996287139478234,84.76477850273312,45.73763347884025,67.54767747433426,97.77067961974896
842,1320,13.352212283553339,31.44205713081987,16.96559951281918,119.43952899405929,91.05647845441176
759,333,114.63328316250542,269.9407530187766,145.65544133613054,6148400.045551682,93.03293960157343
651,674,37.7368268941146,88.86343640612408,47.94919960632565,68.43745210072842,97.96225095248064
898,771,11.845938200695791,27.895052727196305,15.051696235698765,93.0605200888476,102.81017931960794
304,1290,29.281516373245022,68.95270170461933,37.20570564388361,51.16394735760223,95.49168236441942
240,1243,59.4433260869332,139.97833581282143,75.52993037288962,17.29245800225868,96.87779772996888
156,969,64.8044878730061,152.60290705131982,82.34193439547231,19.38320666948868,93.54554835144911
307,1304,30.808047504356676,72.5474078115248,39.145347949165995,51.57399564344574,94.16067158962751
205,487,12.319235580159571,29.009582883618233,15.653077761091378,136.52617063926823,95.82315589691687
889,229,52.055167576596,122.5805520568134,66.14238202047154,35.017085566420086,84.4734859707092
143,655,13.249880412704831,31.201083990100283,16.835574502630283,131.42132112889303,99.1256156426635
317,537,13.259417404337468,31.223541889166107,16.847692403181917,92.89704955805279,99.44940605031474
173,214,12.455461973191195,29.330371524591367,15.826169858353584,128.7959712941587,95.70458348419764
609,655,78.26412286622264,184.29792533214615,99.44402744449542,63.93903216540172,62.65081886860173
822,821,11.083643887027726,26.099986797157637,14.08310917597071,87.90089862573723,99.65011703829911
480,491,52.2323873149496,122.9978726490636,66.36756111759969,17.546083233330943,95.62943690775221
424,1153,80.08821770715669,188.59334042761517,101.76176040795389,38.76845497926015,73.90628511298803
238,212,8.620175261399716,20.298961497223953,10.952974541556593,140.87390563231165,95.31654872995561
147,753,12.032437316120292,28.33422458257846,15.288665902941435,128.59937165905478,97.54079238068323
179,230,63.80334226085419,150.24538929582974,81.0698578924117,42.78106948012527,88.13888770723956
774,1037,9.681605692903831,22.798439153735696,12.301650193890168,90.8962021712845,97.72756954047654
201,277,68.6928578300908,161.75931856875903,87.2825783912867,34.326296298518976,81.54582693422726
454,984,15.297931354826312,36.02387540185247,19.437870760957765,128.41098867344564,94.53333453912022
603,613,16.64853995135942,39.20431559795975,21.153982223293916,105.0768765417443,97.13489687844391
292,1416,11.302336930913624,26.61496956060898,14.360985120422075,118.8003825661203,95.18258869479556
226,1307,10.004239713179187,23.558184211889024,12.711595711603715,118.62650652376246,96.54764764341526
839,569,65.77931401994792,154.8984472025587,83.58056883689824,34.019700188179435,83.56637075751065
275,595,42.39189783390958,99.82529076619437,53.86402986749546,30.320717668714217,93.59537168429554
695,235,15.894969166880726,37.42979200931962,20.19647946176471,98.36113822075221,90.8859766448046
240,623,41.02161578338679,96.59852312627719,52.122920904046026,33.42048406152784,97.16604557383849
293,1107,12.196246852472273,28.71996656234733,15.49680571761106,109.32457460130792,96.6158507997745
411,321,107.82237000486879,253.9022781902088,137.00135297270745,38.33730192347659,94.54040782228283
908,904,13.684077804794708,32.22354071249369,17.38727476826948,108.00995808915613,97.15146322857231
439,251,104.36404513748565,245.75854547026597,132.60713324048254,111.71733929532446,94.9988894322095
621,418,11.375783785370048,26.787923685727442,14.454308226115872,85.03982633866603,100.26870442485786
624,1246,113.84427458919224,268.08277981463743,144.6529105807215,502.3404040944855,91.54457314741856
635,1144,89.52490211910886,210.81503403951126,113.7522085121416,13.837666696320928,93.11465657488222
786,1344,66.53567886967627,156.67955031205588,84.54162179603006,139962.71416793496,91.07633041436604
433,1062,9.758818572613134,22.980261590609725,12.399758489845969,118.81122900931227,97.65557100749753
792,1070,13.935820672633428,32.81634986387388,17.707144508598663,118.20325866520612,99.30948098482686
421,682,63.42666814281111,149.35838953221753,80.59124789896254,27.255442871426396,84.54127309823131
547,458,13.770607914074299,32.42730354832399,17.497221730515307,113.7755242017422,96.91671970859734
871,1271,6.122550723396116,14.417505170171912,7.7794406922368715,54.40918507297925,99.71347465988345
161,432,13.340989082974582,31.415628513127608,16.951339079998935,128.00188294042567,97.02217676483818
840,602,52.17691402740494,122.86724303958967,66.29707560103091,19.567883199093497,95.31257564363467
356,266,46.07725864614831,108.50365228002566,58.54672620821309,43.5841089378152,86.25366823926612
433,1211,35.17988577987732,82.84230021635436,44.70029687764114,34.63795071121881,90.32479606155344
888,477,9.191837749382227,21.645123782917434,11.679340826157938,75.50738597669626,104.7180669539657
216,881,41.27406788755807,97.19300240158995,52.44369181485711,166.65130990639742,98.74547989850088
258,1119,131.33449810461553,309.2691087408279,166.87635350170214,57.22737518109901,55.165746351241296
349,1316,30.90258210196441,72.77001977692044,39.26546558129006,54.52769461160796,92.3882745874128
864,863,76.37712150900181,179.85437671116193,97.04636414893889,30.554349310487105,91.91803976697128
219,1166,31.15864513304254,73.3730021352946,39.59082461116867,97.77567004148226,98.5369244109511
389,355,43.721933842290916,102.95728621934369,55.55400137009213,39.82273318635669,95.10468257600647
415,397,46.84299304303553,110.30681898698536,59.519684309454526,35.515849586309635,97.69758359708362
752,1182,7.575754237674384,17.8395379351038,9.625911397637113,89.0959847121605,98.1709461337975
247,1199,12.666431106450327,29.827165868472775,16.094231640808147,96.8217347667731,99.2906011573342
740,1398,13.975577576414869,32.90997021782679,17.757660460045635,112.40895127591662,94.85455116656065
536,1207,10.598497463005796,24.95755427309571,13.466672007339803,135.4022812072903,96.77009460510683
688,420,13.49955862566796,31.789031250793368,17.15282084939684,101.36881062394522,97.13230052481184
701,1206,16.247583037495897,38.260134220000175,20.644518002830356,119.24353622502286,92.50700222375737
260,495,38.57184950258824,90.82976438261184,49.01019675486285,771.8619974427047,95.1584870623513
865,399,105.63960858667625,248.76226784912882,134.22789077283647,32.42922427944064,78.40211357705995
393,292,94.66048520768646,222.90840803941575,120.27758753513207,50.3038508026655,70.66175380057409
626,710,15.134042595461013,35.63794686614381,19.229630283874474,106.92831189632086,100.94021575790049
493,1108,12.051548908746716,28.37922894398763,15.312949491283678,97.97127823159606,98.85345624261136
440,1079,4.43469012626678,10.442897202833844,5.6348098013966945,4.34588037081579,99.3875122474726
820,280,13.916526942924733,32.77091660241244,17.682629493079514,104.48616941256792,91.92416771728173
797,880,13.830242279189974,32.56773174667107,17.57299439906402,127.24197286621808,94.55921107061353
306,592,44.839397328227825,105.58871163561808,56.97387379048172,32.895917512634675,91.19869701283396
487,551,57.26956897743624,134.85952899834948,72.76790923551641,20.104155065155723,93.62349152794398
462,226,90.96845730609907,214.2143467299442,115.58641985158349,42.19705072356676,89.86290431473164
276,446,28.917664056209983,68.09589497503426,36.74338729831391,69.03711565540375,94.43148166067571
781,916,13.588914439506526,31.999448112360476,17.266358210811802,116.52345527692673,100.45156847867527
392,1339,45.44981946094383,107.02614590966826,57.74948888837653,60.54905266210397,91.48521799995983
317,150,16.17233600426608,38.08294099782149,20.548907552427515,133.94677479690472,85.31754719628178
398,551,54.168032208857,127.55596804529856,68.82703190578634,17.46819837541306,94.41149358381598
229,416,9.583503627934839,22.567426444687783,12.176999663303969,37.46947404105714,93.38487584047222
810,1376,13.625561243262784,32.08574474043203,17.312922404276534,120.02352348140438,89.55125085793492
808,464,96.28101234772377,226.72445783229227,122.33666313052177,14.844466816108557,93.69936502166652
288,1257,29.63928139159956,69.79517394125145,37.66028934074228,56.54919207560005,96.90303890569618
239,925,12.729937701974006,29.97671247260361,16.174924446104875,119.05155092231215,98.18151856397368
267,561,45.108018431433415,106.22126599396492,57.31518936882158,35.42529609976824,89.26991479449968
443,1112,9.962650192437101,23.46024837478233,12.658751198810176,119.98889974446082,95.8520517650929
876,1388,11.185031560467861,26.33873652289352,14.211934469232455,101.4377185156953,94.91216580561546
722,1372,51.48638167548384,121.2411636155435,65.41967078716581,24.70166494541467,88.50121136368205
589,421,13.3250406784741,31.37807289052361,16.931074704487404,100.39500388554099,98.15341227422023
265,911,13.269438684883418,31.247140201472593,16.860425651331187,116.23625917915248,97.39039303041747
412,119,14.569276252738465,34.30802376154193,18.51202638532408,92.23397196383041,89.15865228075322
523,1187,44.16948787542919,104.01119542781214,56.122672862525164,32.59929727121369,93.35086884100579
504,448,89.4097525379849,210.54387749770365,113.60589705184343,20.732720941240576,91.14884297686105
487,134,11.385004717229226,26.809637320903295,14.466024534524964,126.41833883994914,87.5940373693074
