label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_um,mean_intensity,max_intensity
1,311.0,1.8235294117647058,17.0,1.1454006794557343,4.652426491681278,615.477254628669,186.94117647058823,221.0
2,943.3636363636364,1.3636363636363635,11.0,1.3725291727073354,3.742410318509555,495.08969838615985,222.45454545454547,241.0
3,1391.8636363636363,3.227272727272727,22.0,1.0478986251789888,5.292567428401227,700.1625660489124,226.13636363636363,245.0
4,654.3571428571429,3.357142857142857,14.0,1.2947179437557332,4.222008245644752,558.5365074967536,229.14285714285714,243.0
5,860.1428571428571,3.761904761904762,21.0,1.161826052809369,5.170882945826411,684.0647230416189,229.76190476190476,250.0
6,1037.357142857143,5.035714285714286,28.0,0.6854387828391622,5.970821321441846,789.8899039824108,232.60714285714286,249.0
7,421.1,5.8,10.0,1.347530211117168,3.5682482323055424,472.04950573208737,231.9,250.0
8,540.0,9.846153846153847,26.0,0.8605375959228808,5.753627391751592,761.1569570338042,222.07692307692307,243.0
9,153.5625,11.6875,16.0,1.2550998818257415,4.51351666838205,597.100642588042,227.75,244.0
10,317.0,10.428571428571429,21.0,0.9318416243408058,5.170882945826411,684.0647230416189,173.85714285714286,205.0
11,456.72727272727275,11.090909090909092,11.0,1.3175850953161343,3.742410318509555,495.08969838615985,181.1818181818182,196.0
12,1440.3333333333333,10.866666666666667,15.0,1.3956938909918393,4.370193722368317,578.1402111883085,203.4,230.0
13,304.8,12.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,162.4,176.0
14,1129.909090909091,12.363636363636363,11.0,1.5596762428443343,3.742410318509555,495.08969838615985,196.63636363636363,227.0
15,1061.625,13.625,16.0,1.1114798311480196,4.51351666838205,597.100642588042,227.75,244.0
16,753.8,14.2,15.0,1.257624288160649,4.370193722368317,578.1402111883085,225.46666666666667,250.0
17,1071.8125,14.1875,16.0,0.7853981633943804,4.51351666838205,597.100642588042,244.625,254.0
18,1513.7037037037037,15.25925925925926,27.0,0.9163139266215123,5.863230142835039,775.6564876458852,205.2962962962963,232.0
19,616.5833333333334,17.0,12.0,1.2776582742473015,3.9088200952233594,517.1043250972568,175.75,193.0
20,1009.4444444444445,17.27777777777778,18.0,1.0237955865444746,4.787307364817192,633.3208701372743,212.72222222222223,233.0
21,1413.46875,17.375,32.0,0.6595286281999522,6.383076486422923,844.4278268496992,175.53125,217.0
22,761.0,18.214285714285715,14.0,1.3503486408234053,4.222008245644752,558.5365074967536,213.42857142857142,236.0
23,1176.6,19.5,20.0,1.1978046321112854,5.046265044040321,667.5788131178341,210.55,244.0
24,195.71428571428572,22.714285714285715,21.0,1.1106735132261938,5.170882945826411,684.0647230416189,195.38095238095238,221.0
25,703.75,24.916666666666668,12.0,1.336700452219239,3.9088200952233594,517.1043250972568,148.16666666666666,176.0
27,851.6428571428571,26.214285714285715,14.0,1.4353535174563994,4.222008245644752,558.5365074967536,210.35714285714286,239.0
28,96.38461538461539,28.615384615384617,13.0,1.55714602173725,4.068428945128219,538.2192458659206,150.15384615384616,174.0
29,534.5454545454545,28.636363636363637,11.0,1.4822832322288846,3.742410318509555,495.08969838615985,132.27272727272728,153.0
30,1019.5,29.714285714285715,14.0,1.500400304226443,4.222008245644752,558.5365074967536,143.5,175.0
31,1449.7272727272727,28.90909090909091,11.0,1.3175850953161343,3.742410318509555,495.08969838615985,204.36363636363637,228.0
32,484.6,30.6,20.0,0.9058449937228015,5.046265044040321,667.5788131178341,211.1,234.0
33,1346.1818181818182,32.36363636363637,11.0,1.3725291727073354,3.742410318509555,495.08969838615985,193.27272727272728,210.0
34,1263.8823529411766,34.05882352941177,17.0,1.2503645433956234,4.652426491681278,615.477254628669,231.0,252.0
35,390.27777777777777,34.94444444444444,18.0,1.212777190011954,4.787307364817192,633.3208701372743,227.22222222222223,247.0
36,435.3333333333333,36.166666666666664,12.0,1.2860574036226655,3.9088200952233594,517.1043250972568,185.75,205.0
37,852.9166666666666,35.75,12.0,1.1855325518954918,3.9088200952233594,517.1043250972568,204.83333333333334,229.0
38,862.7222222222222,36.22222222222222,18.0,0.6823394649154997,4.787307364817192,633.3208701372743,225.38888888888889,243.0
39,613.5,36.5,16.0,1.3962634015857673,4.51351666838205,597.100642588042,210.9375,239.0
40,1190.3846153846155,36.38461538461539,13.0,1.55714602173725,4.068428945128219,538.2192458659206,204.53846153846155,227.0
41,1282.2941176470588,35.88235294117647,17.0,1.117154437015055,4.652426491681278,615.477254628669,224.23529411764707,246.0
42,1518.9166666666667,36.833333333333336,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,181.08333333333334,198.0
43,414.2,39.2,10.0,1.4178874934948493,3.5682482323055424,472.04950573208737,147.5,162.0
44,1234.5,43.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,172.2,191.0
