label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,mean_intensity,max_intensity
1,555.9519010217557,624.6719260443456,14387.0,0.8382338386877735,135.34436571244768,365.1482711429269,132.5680710311667,357.6580501964053,39338.61326197261,62194.0
2,1275.9520938300157,604.7988766829108,12107.0,0.7523554453125161,124.15760616292751,334.9672888190854,136.89171961553546,369.3229081851455,43193.661187742626,63222.0
3,85.14326908483837,632.6635301259676,13178.0,0.5345757766527509,129.53281715657997,349.4691780630803,102.96198286805074,277.7831928193715,41202.63082410077,62965.0
4,1287.0487573715247,286.56739679865206,9496.0,0.804611588965384,109.95764055673942,296.65691761083843,116.72426459100029,314.91272792535153,44608.98609941028,63993.0
5,550.9372661870503,354.12791366906475,6950.0,0.8104407033230204,94.0692023773423,253.79118247787935,90.20995304904106,243.37923653006888,45436.82345323741,64507.0
6,690.8688135037693,325.71075057358246,12204.0,0.6053131864134437,124.65398270391495,336.30647301654625,101.64093974319218,274.21912415195305,42566.87799082268,63736.0
7,255.8574456809751,895.5405405405405,7548.0,0.6815700893531322,98.03270925390673,264.48440695030007,96.02178188459582,259.0590857820888,41698.79478007419,63479.0
8,601.0916621645957,82.34936070592472,11106.0,0.6562381895281965,118.91424802700776,320.82112803702483,126.23204790559285,340.5639666854571,41175.028453088424,64764.0
9,1182.3517393705135,874.9752622860299,9055.0,0.6190422771047561,107.37403819162665,289.6865651179534,100.76640507214194,271.8596995722332,41646.26107123136,61423.0
10,1434.7385301614274,26.52548853016143,9416.0,0.398166629454869,109.49348635067884,295.40466669522345,78.0492030909967,210.57050600326184,43379.74946898896,63993.0
11,1146.426092345832,363.87470302654685,9681.0,0.7291630732743201,111.02356521289123,299.5326970591635,97.35912641745844,262.6671343441895,44388.15545914678,62965.0
12,180.5921718899685,847.4770767756945,7307.0,0.6769643256986436,96.45497059965253,260.2277942802146,88.54071660173231,238.87577013414568,41408.408375530315,60652.0
13,1009.4221638655462,654.9319327731092,9520.0,0.5564678309593478,110.09650523917074,297.03156341486357,103.32133568599099,278.75269797394884,41784.852521008404,63479.0
14,1117.3727634194831,699.6574552683896,10060.0,0.783807396897075,113.17592420667806,305.3395894356809,115.49748162630223,311.6029656292334,42121.63578528827,63736.0
15,154.3871431732684,139.5008851515822,9038.0,0.6834617688312333,107.27319798214464,289.4145062999877,102.87224627005665,277.54109065691125,40194.02655454747,61937.0
16,100.2971547706647,809.6865342163355,8154.0,0.7853010213757046,101.89207647197361,274.8966709552671,87.26141933753638,235.42432845912617,42123.35271032622,61166.0
17,1500.5615466477475,852.8669741042924,8457.0,0.6404380677809018,103.76794702520269,279.95761963823486,110.15366684213824,297.18578084674164,39682.11280595956,59110.0
18,1286.578901558012,188.07520236748195,11489.0,0.555225268663971,120.94729897547231,326.3061368519063,128.3902096816552,346.3865145043312,40323.47671685961,64250.0
19,63.810619035967704,319.6510888182041,8174.0,0.7949432760667036,102.01695956391379,275.23359554667434,99.92430398311555,269.58777820212714,41486.32089552239,63222.0
20,59.91413767579571,408.4975150682034,9457.0,0.5862748390713894,109.73161064415501,296.0471069890787,82.72075263943992,223.1739729609978,40495.82996722005,61423.0
21,1239.4355915352933,365.5734980826587,7041.0,0.8325421327164632,94.68304829524808,255.44728965671575,86.91418279409952,234.487512043857,45163.99957392416,64250.0
22,1142.9363486984346,503.4994378621465,11563.0,0.6725334740344742,121.3361811487929,327.35530984495136,148.7146015105718,401.2200977074019,42327.83109919571,63736.0
23,424.50472379682117,66.55173946871179,8997.0,0.688250675761638,107.0296042409868,288.75730987384316,107.0296042409868,288.75730987384316,41729.921529398685,62708.0
24,1112.518423437028,267.97870733917244,6622.0,0.6963081206972654,91.82261303859876,247.7300641690964,88.05553147804085,237.566779485236,43983.63666565992,61680.0
25,23.82258535161949,100.0,6854.0,0.517511544599537,93.41725664787425,252.03228505543294,91.50100522945631,246.8623920286548,42133.93886781442,65021.0
26,1426.248872604284,978.7838218714769,7096.0,0.6982889938391762,95.0521320615204,256.44304813141713,97.00191938585927,261.70341834949744,42681.231538895154,62708.0
27,714.3927550047664,449.3878296790594,6294.0,0.6610497117240879,89.51966093860675,241.51688363948594,87.68336020140455,236.5626911545734,41268.42627899587,62451.0
28,702.008121360711,864.0907140668097,6526.0,0.832254084819321,91.1546009203138,245.92782091493302,87.41492498512143,235.83847441585883,39980.2762794974,59624.0
29,468.8836186950486,520.1655483572421,8644.0,0.7215788319230667,104.90892538145049,283.0358879651229,104.90892538145047,283.03588796512287,40685.56177695511,61680.0
30,294.58868060562367,963.6926820475848,5548.0,0.8046692123981432,84.04720693866443,226.75264054396158,82.32316166812771,222.10130432767514,41561.3655371305,62965.0
31,580.3881091310519,229.60290175051253,6341.0,0.8380673071158461,89.85328014694659,242.41696157405016,86.1669917306616,232.47165032998655,43558.88582242549,64250.0
32,1334.9933055450297,972.032967032967,7917.0,0.7216063682458244,100.40038583426004,270.8722089499669,102.45988092829614,276.42856195406875,40731.72451686245,61680.0
33,1396.488681971424,320.6482581473752,6229.0,0.8410190136359639,89.05621328214741,240.26653893817118,85.4026250449311,230.40945016122055,41057.905763364906,61166.0
34,685.0298050139276,705.2880222841226,7180.0,0.6623870662028971,95.61307405997607,257.95642476789067,99.53566171371867,268.5392524506759,42725.31935933148,62708.0
