label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,mean_intensity,max_intensity
243,1211.6461077844313,412.9479041916168,1670.0,0.7372948376496468,46.111929472835136,35.54459693133393,142.486961100211,207.060961917584
244,796.3082140165787,420.224566691786,1327.0,0.7846473142137391,41.104608936998304,31.684789020733213,147.198618952807,210.99667478488595
245,301.84615384615387,409.47293447293447,351.0,0.6311395791972098,21.14017691983778,16.295545995649316,94.67457730970628,117.66427715969306
246,75.29508196721312,413.84631147540983,488.0,0.6483466814192451,24.926710529686012,19.214331057729456,100.5855028446298,109.73239463129923
247,418.13177159590043,421.65300146412886,683.0,0.9277415575956959,29.489364337912,22.73137518068572,130.59068672271033,179.31024565086258
248,155.0,413.5,52.0,1.1211451356595827,8.136857890256438,6.272158578120041,107.6130744397619,112.54771853022801
252,604.2191780821918,417.75342465753425,73.0,1.0096821649448093,9.640875829802336,7.431505238514024,98.35188869663547,102.44303991217554
256,6.380710659898477,428.51269035532994,197.0,0.9313475517401453,15.837556323903858,12.208111053823782,98.00245617439734,110.45536905302214
257,896.7941176470588,446.9577205882353,1632.0,0.6910758228472409,45.58428388170407,35.13787029738559,149.69565404662552,196.617298450083
258,492.1122112211221,441.9917491749175,606.0,0.8756686092875648,27.777385840094972,21.411725659277927,127.22760723326287,165.90032691234853
259,57.166666666666664,434.94444444444446,36.0,1.0780241689027255,6.770275002573076,5.218751391058412,93.50992024002853,95.05377524441779
260,1430.89219330855,446.1152416356877,269.0,0.7637784746452194,18.5067943613625,14.26564781795214,93.91673267447717,98.2982005328628
261,968.7931034482758,440.98850574712645,87.0,0.985106430676209,10.524820207108489,8.112878734706058,102.73072334584292,106.46912438044045
262,376.98984771573606,470.02495769881557,2364.0,0.6554335676746058,54.86290444147051,42.29013721933204,145.7217016933365,206.76747478119668
264,835.2658959537572,447.757225433526,173.0,0.795268625031727,14.841510746523857,11.440326253275224,101.21918204555014,112.9064350381089
265,429.94174757281553,448.2864077669903,206.0,1.0003514919078607,16.195287778099022,12.483862263855404,99.51618943009365,116.28643218058191
266,621.9910714285714,446.19642857142856,112.0,1.0433623724061334,11.941642642883693,9.205012223341965,99.08217749648942,109.66053902754491
269,16.31527093596059,449.0,203.0,0.7157795474865422,16.07692842495848,12.392626968596021,87.19208888147931,92.60693423235556
271,717.2,457.832,125.0,0.8743797398682593,12.6156626101008,9.72456905673183,95.89582282843647,100.26393535622049
272,93.96648044692738,464.4581005586592,179.0,0.9845220726222613,15.09668435477122,11.637022491241364,100.64759626179936,114.45069338548288
275,746.2742663656885,474.00677200902936,886.0,0.8242168924253108,33.5870545989873,25.89001005770118,135.6754130222792,193.82816342379388
277,1400.3572938689217,467.32980972515855,473.0,0.7685762598823358,24.54062559633988,18.916724050303458,105.36096626917794,127.6895283123342
278,658.6886715566422,492.81499592502036,2454.0,0.6365230824935333,55.897494065298574,43.087633042836295,141.88151328570123,187.96805118642942
279,862.4330708661417,467.1417322834646,127.0,0.8643139098336534,12.716187407449045,9.80205688784617,105.31823325752595,113.68895797718596
281,948.6854838709677,474.6693548387097,496.0,0.928298589890532,25.13019725725687,19.371185342403084,118.35850880164634,150.29950921616523
283,816.1172365666434,487.4752267969295,1433.0,0.799007103352452,42.714778093834084,32.92596054240441,153.77246413183954,210.43743898192452
284,334.2049180327869,477.827868852459,122.0,0.887758667097939,12.463355264843006,9.607165528864728,89.8469984967097,94.66672950325611
285,40.761433868974045,489.0037082818294,809.0,0.9322614278356126,32.09440436728413,24.739426001646727,128.32731084850116,181.08380559988166
286,914.2922636103152,486.9484240687679,349.0,0.9569238825397561,21.079862454783044,16.249053615607778,119.48608524105408,142.39652184508586
287,852.5666666666667,484.1333333333333,30.0,1.1032628324111313,6.180387232371033,4.764046431490261,103.2315840014869,105.56817516570229
288,1000.5181598062954,498.6113801452785,826.0,0.731089019565337,32.429860683500394,24.99800680024466,133.75045522453627,177.19707131370126
290,1058.975884244373,501.9389067524116,622.0,0.6643496095343804,28.14169498849121,21.692547173063645,124.1072028008178,176.09878110352327
291,1529.420814479638,498.1900452488688,221.0,0.8997766940369009,16.774562271083887,12.930386159106407,131.01657263218755,167.0186167576482
294,1495.127659574468,494.21276595744683,47.0,1.0866382742295595,7.735777827895049,5.962992830409824,102.63122142801599,107.44090928522995
295,734.76,501.75636363636363,275.0,0.6379854459512808,18.712051592547777,14.42386686523838,96.80169431380158,105.03819430518492
296,883.217598097503,513.1521997621878,841.0,0.7699972576007635,32.722995845769866,25.223965056782323,126.33454153563065,164.06241040853052
297,1382.580487804878,501.37560975609756,205.0,0.8273914926145005,16.15593100600236,12.453524765149815,91.40314325073359,97.75094097600888
298,1115.8082191780823,500.73972602739724,73.0,0.9014987113433985,9.640875829802336,7.431505238514024,91.84046383313576,95.87731112848398
300,858.25,505.7291666666667,48.0,1.1097582375110395,7.817640190446719,6.026095040922615,103.95050913662482,107.59214481116148
301,1.2702702702702702,507.9189189189189,37.0,0.8308021269724776,6.863662517577698,5.290737569411969,84.23433747064159,89.16887790532758
302,941.2110888443553,526.4261857047428,1497.0,0.8077271755051684,43.65821341361255,33.6531916202552,149.58053976300715,209.9373695528227
303,1214.169459962756,528.0148975791434,1074.0,0.7771478167089161,36.97917347704738,28.504767228832865,128.67853754716182,189.98188079385974
304,1503.089770354906,520.0688935281837,479.0,0.7555824888025646,24.695783889727878,19.03632518307061,103.57943195323527,124.71744368594965
306,1149.0833333333333,518.4208333333333,240.0,0.9405190605409034,17.480774889473267,13.474758150377346,97.9908922591998,119.18001137253826
307,407.7942857142857,519.3771428571429,175.0,0.986554258849253,14.927053303604616,11.506265279177457,104.8122674139403,121.60047900451545
308,314.8301298701299,545.1968831168831,1925.0,0.733670496039636,49.507435033691536,38.16196466932555,148.21500602487427,215.53850803582628
309,745.4516971279373,527.5378590078329,383.0,0.9452695969644878,22.082815618339236,17.022163011531287,116.43780065355611,150.17243892158578
313,428.6666666666667,526.9305555555555,72.0,1.0963114064208244,9.574614729634384,7.380428995888261,99.88599051539602,105.95619920540604
317,713.3241525423729,544.1165254237288,944.0,0.9091938888455856,34.668979365276876,26.72399337107447,141.7770237940889,205.26757424190885
319,178.23863636363637,542.775,440.0,0.9381764367957468,23.66908109081279,18.244908784474493,126.97133215223462,172.89913243325555
