label,x_px,y_px,x_init_px,y_init_px,center_offset_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,radius_change_factor,quality_score,gradient_sharpness,profile_symmetry,edge_contrast,center_quality,angular_variance,angular_cv,mean_intensity,max_intensity
1,1257.041265060241,309.1671686746988,1257.041265060241,309.1671686746988,0.0,3320.0,0.8902489362521989,65.0165770286374,501.1692312071565,66.3502504035838,511.44962569345705,0.02051282051218939,0.9391135858685644,18077.153148481375,0.8477839646714111,0.5118130710502484,0.43596503419479726,48350483.978650466,0.12937619340205653,46140.09246987952,62451.0
2,1106.4089007227083,21.12704450361354,1106.4089007227083,21.12704450361354,0.0,2629.0,0.8240662435038469,57.85625949807629,445.97514077680637,59.043054564703496,455.12334879274084,0.020512820512111403,0.8234958675924278,5229.005793936311,0.9392526096896454,0.14402182105681346,0.35515889811633555,69963966.44896087,0.1815641126559754,41517.57284138456,62451.0
3,668.349586288416,811.214243498818,668.349586288416,811.214243498818,0.0,3384.0,0.7893349226523245,65.64025151828557,505.97671998594615,65.64025151828557,505.97671998594615,0.0,0.7670043523744778,7620.913251858021,0.7897554821821035,0.271909116587986,0.3397454993729802,103654732.90879427,0.1943379682278521,45389.739066193855,62451.0
4,127.38487654320987,100.87222222222222,127.38487654320987,100.87222222222222,0.0,3240.0,0.9124571234335177,64.22846818149976,495.0942281375,65.54597522112027,505.250007176218,0.02051282051218178,0.8321424539586171,13090.615454844597,0.7797647237169777,0.4373610616334167,0.4129790952326905,53799522.72748312,0.14214300712643968,45012.43950617284,62451.0
5,939.0,824.5903015231582,939.0,824.5903015231582,0.0,3217.0,0.8821967779040584,64.00009074534987,493.33381949510266,65.31291311961346,503.45348758730995,0.020512820512179532,0.9467918668849955,19325.460216042815,0.8669796672124889,0.5435872881000566,0.4449922546244841,41655796.85726312,0.124723012503638,45733.45756916382,62451.0
7,329.60025665704205,106.09977542508823,329.60025665704205,106.09977542508823,0.0,3117.0,0.9003228569879138,62.99752106979688,485.60568158794734,64.28977791225425,495.56682377436675,0.020512820512169253,0.8332678751173868,11256.648657117314,0.7836330420739689,0.3895638800767561,0.3495176856423351,85856043.74423379,0.18610855503984708,44199.71254411293,62451.0
8,33.10039190269841,394.7289631263788,30.9382288055468,394.7289631263788,2.1621630971516126,3173.0,0.9201490090926098,63.56090839065055,489.9484569749033,64.86472189609978,499.9986817333628,0.020512820512174824,0.8288908246827804,7963.130492906867,0.8603353243777971,0.2856149341046498,0.34249350393629246,77053548.2146939,0.1919763407209063,44070.59974787268,62194.0
9,1319.190818238601,497.72891942535915,1319.190818238601,497.72891942535915,0.0,3202.0,0.8809052347326816,63.850708862486336,492.18233464596926,65.16046699299886,502.2783825361429,0.020512820512177787,0.9474447502805048,14707.679901760503,0.8686118757012616,0.43945684830235915,0.3644519793789463,71931809.33349837,0.17438457096709298,44671.68863210493,62451.0
10,252.75925925925927,459.9278091650973,252.75925925925927,459.9278091650973,0.0,3186.0,0.7680878114221115,63.69098201100552,490.9511073648941,63.69098201100551,490.951107364894,1.1156096409614305e-16,0.933772865668542,13430.370841250045,0.8961612760552282,0.3925606103992475,0.4479696263724519,36894300.8836245,0.12322942028408365,44388.07846829881,62451.0
11,312.3189766839378,685.8011658031088,312.3189766839378,685.8011658031088,0.0,3088.0,0.9035456286704441,62.70377751094572,483.34140930094816,63.99000884450358,493.2561048763522,0.020512820512166186,0.9055725134879089,13520.209678212801,0.8155816831043403,0.4081692901594072,0.4058829062132389,47570537.33949827,0.1463764757500355,43511.980893782384,62194.0
12,1144.955930006481,69.45106934543098,1144.955930006481,69.45106934543098,0.0,3086.0,0.9206445209829858,62.68346859462,483.18486147196717,63.96928333502245,493.0963458098536,0.02051282051216585,0.9563092454330593,18142.619891214614,0.8907731135826479,0.5196495699509186,0.4045765788770563,50846193.19538361,0.14717199467542147,44078.99773169151,62451.0
13,974.9900481540931,32.765329052969506,974.9900481540931,32.765329052969506,0.0,3115.0,0.9020970725986706,62.97730687993916,485.44986394184133,64.26914907234816,495.4078098688534,0.02051282051216894,0.9562771890712332,15668.516469998885,0.8906929726780829,0.46704819014647825,0.4261256888709966,39457589.04877788,0.13467254524116137,42876.51043338684,62451.0
14,754.681450307543,114.66914859177727,754.681450307543,114.66914859177727,0.0,3089.0,0.855636222248327,62.713929502837864,483.41966420461017,64.00036908238326,493.3359650088073,0.02051282051216638,0.9471267092949858,13884.8436659301,0.8678167732374644,0.4153756055699621,0.3974692088113878,48969150.4817933,0.15159181587687034,43328.83554548398,62451.0
15,505.3253282100544,551.6080691642651,505.3253282100544,551.6080691642651,0.0,3123.0,0.9116505611811911,63.058124759684326,486.0728348288174,64.35162475475477,496.04355964581873,0.020512820512169804,0.9477770267832106,16999.293550476174,0.895180114087396,0.5024859072672903,0.3722922741707679,64677423.45466931,0.16860616493516248,43299.35670829331,62451.0
16,155.31978185100726,512.1952498457742,153.15761875385564,512.1952498457742,2.1621630971516197,3242.0,0.8243471125486825,64.24828872453645,495.247011424006,62.93037510967416,485.0880983691546,0.02051282051218205,0.8766269115474985,9158.602879596692,0.8951576579260866,0.2791019242945527,0.41606489136852337,43863521.64535232,0.14034712390915596,43876.13078346699,62451.0
17,1063.0525106662292,247.2431900229734,1063.0525106662292,247.2431900229734,0.0,3047.0,0.8102970270999119,62.286121189298996,480.12197654710906,62.286121189298996,480.12197654710906,0.0,0.8848567414469244,11427.370928467895,0.8409079059837412,0.36635529641936576,0.46569822483083284,29780615.714061264,0.11473133172522934,43479.89596324253,62451.0
18,677.0469314079422,881.9921234000657,677.0469314079422,881.9921234000657,0.0,3047.0,0.914220941724831,62.286121189298996,480.12197654710906,63.56378521369487,489.9706324762805,0.020512820512161824,0.9590223707849685,17105.872787466455,0.8975559269624214,0.4716273503735958,0.42010044799696455,42576463.949067555,0.1380383084017148,43424.90285526748,62194.0
19,572.9509771447499,530.0235177210997,572.9509771447499,530.0235177210997,0.0,3019.0,0.9237873914079573,61.999275685732464,477.91087674660207,63.27105569979877,487.71417678242983,0.02051282051215883,0.9533618017871248,16708.861338667997,0.8834045044678119,0.4984615396917219,0.3893919330111118,54804400.62362985,0.15681066175848685,43773.08446505466,62451.0
20,152.10557377049182,223.6088524590164,152.10557377049182,223.6088524590164,0.0,3050.0,0.9194765151535089,62.31677632421503,480.3582764432364,63.59506917189123,490.2117795497643,0.020512820512162164,0.9102131986598538,12672.174446202569,0.8685634118834119,0.39856277374686055,0.4196108726797529,43638209.078062505,0.1383160363824033,43886.58393442623,62194.0
21,115.33139346912382,678.4199806013579,115.33139346912382,678.4199806013579,0.0,3093.0,0.8848854670383528,62.75452104721905,483.73255722390996,64.04179327382867,493.6552763464517,0.020512820512166793,0.9244279836437179,12491.891048001924,0.8531003851721082,0.39068103224695994,0.4164464518636307,43898804.83440101,0.14012691080087752,43549.493372130615,62451.0
22,142.6876016921575,337.55385616661243,142.6876016921575,337.55385616661243,0.0,3073.0,0.9158690151452074,62.551299914319564,482.1660616685469,63.834403502305605,492.05664754892734,0.020512820512164617,0.9535842162581771,16041.370978272753,0.8839605406454428,0.4609120991416839,0.4220815279077721,42514941.304074466,0.13692105289632747,43676.11714936544,62451.0
23,181.44038772213247,680.7680129240711,181.44038772213247,680.7680129240711,0.0,3095.0,0.8514683639905214,62.77480697664732,483.8889278622998,64.06249532488624,493.8148545876803,0.020512820512167036,0.862966168581998,10147.321968129774,0.823626850837768,0.3055056120724169,0.3475740590047301,67059256.73637442,0.1877084679056532,43405.59773828756,62451.0
25,1078.9715608465608,76.99338624338624,1078.9715608465608,76.99338624338624,0.0,3024.0,0.8728655726978446,62.050595349916925,478.3064656536251,63.323428075043424,488.1178803336994,0.02051282051215931,0.9472364122135633,13656.110980059912,0.868091030533908,0.4029909857905221,0.4283829907923636,37818603.51716392,0.13343597236443452,43068.15178571428,62194.0
26,986.9081295439524,144.16886979510906,986.9081295439524,144.16886979510906,0.0,3026.0,0.9027447571271922,62.07111133505346,478.46460963733256,63.3443649009007,488.27926829655985,0.020512820512159424,0.9267548965272419,12429.372269025751,0.871405018211908,0.3822952438062671,0.4745459807689781,26853803.66535707,0.11072773567264228,42987.28420356907,62451.0
27,280.1503439240092,229.93252538486735,280.1503439240092,229.93252538486735,0.0,3053.0,0.9077616600462923,62.34741638653884,480.5944601548489,63.62633774831399,490.45280805546116,0.020512820512162473,0.9606566479869649,16661.82217671734,0.9016416199674122,0.4737530307404713,0.34222280044787445,81400252.36231749,0.19220729848837606,42800.39109073043,62451.0
28,1422.9732057416268,420.9719298245614,1422.9732057416268,420.9719298245614,0.0,3135.0,0.8632845450688414,63.1791577400707,487.00579698251914,64.47514046294394,496.9956594847246,0.02051282051217109,0.9277654019287247,13259.482437750175,0.864630384481142,0.3810579541016484,0.3754420256684275,63152449.71773657,0.1663527073772909,44176.7014354067,62451.0
29,1369.485733027222,661.9711380780584,1369.485733027222,661.9711380780584,0.0,3049.0,0.9200806807996155,62.30655962174056,480.2795227290514,64.86272617032478,499.98329802049955,0.041025641024323926,0.9336767342652776,15622.030795742634,0.8341918356631941,0.4688710091603823,0.4301219183366063,36568616.27443209,0.13249222077946202,43162.766480813385,62194.0
