file,folder,filename,acquired,microscope_type,software_version,image_width_px,image_height_px,HV_kV,spot_size,WD_mm,pixel_width_nm,pixel_height_nm,HFW_um,VFW_um,magnification_x,dwell_time_us,frame_time_s,line_integration,detector_name,detector_signal,vacuum_mode,chamber_pressure_mbar,active_stage,scan_rotation_deg
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T1_05.tif,20 nm,20nm_T1_05.tif,12/17/2025 12:18:34 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.93857,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000305062,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_01.tif,20 nm,20nm_T2_01.tif,12/17/2025 11:42:53 AM,SEM,13.9.1.6395,1536,1024,3.0,5.0,2.9974200000000004,0.415064,0.415064,0.637538,0.42502599999999996,812500.5882002327,5.0,31.7545,4.0,T2,SE,High vacuum,0.000333725,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_02.tif,20 nm,20nm_T2_02.tif,12/17/2025 12:13:20 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000293689,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_03.tif,20 nm,20nm_T2_03.tif,12/17/2025 12:15:18 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000290662,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_04.tif,20 nm,20nm_T2_04.tif,12/17/2025 12:16:36 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000306382,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_05.tif,20 nm,20nm_T2_05.tif,12/17/2025 12:18:34 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.93857,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000305062,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\Latex particle_T2_20nm_002.tif,20 nm,Latex particle_T2_20nm_002.tif,02/14/2025 10:39:19 AM,SEM,13.9.1.6395,1536,1024,3.0,4.0,2.9990799999999997,0.770833,0.770833,1.184,0.789333,437500.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000789691,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\Latex particle_T2_20nm_003.tif,20 nm,Latex particle_T2_20nm_003.tif,02/14/2025 10:45:47 AM,SEM,13.9.1.6395,1536,1024,3.0,4.0,2.48835,1.3489600000000002,1.3489600000000002,2.0719999999999996,1.38133,250000.00000000003,5.0,31.7545,4.0,T2,SE,High vacuum,0.000580955,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\Latex particle_T2_20nm_004.tif,20 nm,Latex particle_T2_20nm_004.tif,02/14/2025 11:52:50 AM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9003,1.3489600000000002,1.3489600000000002,2.0719999999999996,1.38133,250000.00000000003,5.0,31.7545,4.0,T2,SE,High vacuum,0.00027091,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\Latex particle_T2_20nm_005.tif,20 nm,Latex particle_T2_20nm_005.tif,02/14/2025 11:56:09 AM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.89876,0.770833,0.770833,1.184,0.789333,437500.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000259687,Bulk,-0.366836
